time, distance
"05:00:01.60" , NaN
"05:00:01.60" , 1.67
"05:00:01.60" , 1.67
"05:00:01.60" , 1.67
"05:00:01.60" , 1.67
"05:00:01.60" , 1.58
"05:00:03.31" , 1.50
"05:00:03.41" , 1.50
"05:00:03.51" , 1.50
"05:00:03.61" , 1.50
"05:00:03.72" , 1.50
"05:00:03.82" , 1.50
"05:00:03.92" , 1.50
"05:00:04.02" , 1.50
"05:00:04.13" , 1.58
"05:00:04.23" , 1.50
"05:00:04.33" , 1.50
"05:00:04.43" , 1.50
"05:00:04.53" , 1.50
"05:00:04.63" , 1.50
"05:00:04.74" , 1.58
"05:00:04.84" , 1.67
"05:00:04.94" , 1.92
"05:00:05.04" , 2.08
"05:00:05.15" , 2.25
"05:00:05.25" , 2.33
"05:00:05.35" , 2.50
"05:00:05.45" , 2.67
"05:00:05.55" , 2.67
"05:00:05.65" , 2.75
"05:00:05.76" , 2.67
"05:00:05.86" , 2.83
"05:00:05.96" , 2.50
"05:00:06.06" , 2.33
"05:00:06.17" , 2.25
"05:00:06.27" , 2.33
"05:00:06.37" , 2.25
"05:00:06.47" , 2.17
"05:00:06.57" , 2.17
"05:00:06.67" , 2.17
"05:00:06.78" , 2.08
"05:00:06.88" , 2.00
"05:00:06.98" , 2.00
"05:00:07.08" , 1.92
"05:00:07.19" , 2.00
"05:00:07.29" , 2.00
"05:00:07.39" , 2.00
"05:00:07.49" , 2.00
"05:00:07.59" , 1.92
"05:00:07.69" , 2.00
"05:00:07.80" , 2.00
"05:00:07.90" , 1.92
"05:00:08.00" , 1.83
"05:00:08.10" , 1.75
"05:00:08.21" , 1.67
"05:00:08.31" , 1.67
"05:00:08.41" , 1.58
"05:00:08.51" , 1.67
"05:00:08.61" , 1.67
"05:00:08.71" , 1.67
"05:00:08.82" , 1.83
"05:00:08.92" , 1.83
"05:00:09.02" , 1.92
"05:00:09.12" , 1.92
"05:00:09.23" , 2.00
"05:00:09.33" , 2.00
"05:00:09.43" , 1.92
"05:00:09.53" , 1.83
"05:00:09.63" , 1.75
"05:00:09.74" , 1.42
"05:00:09.84" , 1.17
"05:00:09.94" , 1.08
"05:00:10.04" , 1.08
"05:00:10.14" , 1.08
"05:00:10.24" , 1.25
"05:00:10.35" , 1.67
"05:00:10.45" , 5.58
"05:00:10.55" , 5.58
"05:00:10.65" , 2.17
"05:00:10.76" , 5.58
"05:00:10.85" , 5.58
"05:00:10.96" , 5.58
"05:00:11.06" , 5.50
"05:00:11.16" , 5.50
"05:00:11.26" , 2.92
"05:00:11.37" , 2.83
"05:00:11.47" , 5.42
"05:00:11.57" , 5.42
"05:00:11.67" , 5.42
"05:00:11.78" , 5.50
"05:00:11.88" , 5.42
"05:00:11.98" , 5.42
"05:00:12.08" , 5.42
"05:00:12.18" , 2.33
"05:00:12.28" , 2.50
"05:00:12.39" , 4.33
"05:00:12.49" , 5.25
"05:00:12.59" , 5.25
"05:00:12.69" , 5.25
"05:00:12.80" , 5.17
"05:00:12.90" , 2.25
"05:00:13.00" , 2.17
"05:00:13.10" , 2.08
"05:00:13.20" , 2.08
"05:00:13.30" , 4.92
"05:00:13.41" , 4.92
"05:00:13.51" , 4.83
"05:00:13.61" , 4.83
"05:00:13.71" , 4.67
"05:00:13.82" , 4.67
"05:00:13.92" , 4.67
"05:00:14.02" , 4.58
