time, distance
"05:21:24.25" , 4.00
"05:21:24.36" , 3.92
"05:21:24.45" , 3.92
"05:21:24.56" , 3.92
"05:21:24.66" , 3.92
"05:21:24.76" , 3.92
"05:21:24.86" , 4.00
"05:21:24.97" , 3.92
"05:21:25.07" , 4.00
"05:21:25.17" , 3.92
"05:21:25.27" , 3.92
"05:21:25.38" , 3.83
"05:21:25.47" , 3.83
"05:21:25.58" , 3.75
"05:21:25.68" , 3.75
"05:21:25.78" , 3.83
"05:21:25.88" , 3.83
"05:21:25.99" , 3.83
"05:21:26.09" , 3.92
"05:21:26.19" , 3.92
"05:21:26.29" , 3.83
"05:21:26.40" , 3.83
"05:21:26.50" , 3.75
"05:21:26.60" , 3.83
"05:21:26.70" , 3.75
"05:21:26.80" , 3.75
"05:21:26.90" , 3.75
"05:21:27.01" , 3.75
"05:21:27.11" , 3.75
"05:21:27.21" , 3.75
"05:21:27.31" , 3.75
"05:21:27.41" , 3.75
"05:21:27.52" , 3.75
"05:21:27.62" , 3.75
"05:21:27.72" , 3.75
"05:21:27.82" , 3.83
"05:21:27.92" , 3.75
"05:21:28.03" , 3.75
"05:21:28.13" , 3.75
"05:21:28.23" , 3.75
"05:21:28.33" , 3.75
"05:21:28.43" , 3.75
"05:21:28.54" , 3.75
"05:21:28.64" , 3.75
"05:21:28.74" , 3.75
"05:21:28.84" , 3.92
"05:21:28.94" , 3.92
"05:21:29.05" , 4.08
"05:21:29.15" , 4.17
"05:21:29.25" , 4.33
"05:21:29.35" , 4.58
"05:21:29.45" , 6.08
"05:21:29.56" , 17.25
"05:21:29.66" , 12.00
"05:21:29.76" , 19.33
"05:21:29.86" , 20.50
"05:21:29.97" , 19.50
"05:21:30.07" , 13.25
"05:21:30.17" , 17.92
"05:21:30.27" , 17.50
"05:21:30.38" , 20.00
"05:21:30.48" , 17.67
"05:21:30.58" , 19.25
"05:21:30.68" , 20.33
"05:21:30.79" , 20.67
"05:21:30.89" , 20.67
"05:21:30.99" , 19.00
"05:21:31.09" , 20.75
"05:21:31.20" , 19.67
"05:21:31.30" , 20.50
"05:21:31.40" , 19.75
"05:21:31.50" , 19.83
"05:21:31.61" , 16.42
"05:21:31.71" , 12.42
"05:21:31.81" , 18.17
"05:21:31.91" , 18.83
"05:21:32.01" , 20.25
"05:21:32.12" , 19.08
