time, distance(ft)
"05:37:36.20" , 1.67
"05:37:36.30" , 1.67
"05:37:36.40" , 1.67
"05:37:36.50" , 1.67
"05:37:36.60" , 1.67
"05:37:36.71" , 1.67
"05:37:36.81" , 1.67
"05:37:36.91" , 1.67
"05:37:37.01" , 1.67
"05:37:37.11" , 1.67
"05:37:37.21" , 1.67
"05:37:37.32" , 1.58
"05:37:37.42" , 1.67
"05:37:37.52" , 1.58
"05:37:37.62" , 1.67
"05:37:37.73" , 1.67
"05:37:37.83" , 1.58
"05:37:37.93" , 1.58
"05:37:38.03" , 1.58
"05:37:38.13" , 1.58
"05:37:38.23" , 1.58
"05:37:38.34" , 1.58
"05:37:38.44" , 1.58
"05:37:38.54" , 1.58
"05:37:38.64" , 1.58
"05:37:38.75" , 1.67
"05:37:38.85" , 1.75
"05:37:38.95" , 1.67
"05:37:39.05" , 1.75
"05:37:39.15" , 1.83
"05:37:39.25" , 1.83
"05:37:39.36" , 2.00
"05:37:39.46" , 2.00
"05:37:39.56" , 2.00
"05:37:39.66" , 2.08
"05:37:39.77" , 2.08
"05:37:39.87" , 2.08
"05:37:39.97" , 2.08
"05:37:40.07" , 2.08
"05:37:40.18" , 2.08
"05:37:40.27" , 2.00
"05:37:40.38" , 1.92
"05:37:40.48" , 1.92
"05:37:40.58" , 1.92
"05:37:40.68" , 1.83
"05:37:40.79" , 1.75
"05:37:40.89" , 1.67
"05:37:40.99" , 1.58
"05:37:41.09" , 1.58
"05:37:41.20" , 1.50
"05:37:41.30" , 1.50
"05:37:41.40" , 1.50
"05:37:41.50" , 1.50
"05:37:41.60" , 1.50
"05:37:41.70" , 1.50
"05:37:41.81" , 1.42
"05:37:41.91" , 1.42
"05:37:42.01" , 1.42
"05:37:42.11" , 1.33
"05:37:42.22" , 1.33
"05:37:42.32" , 1.33
"05:37:42.42" , 1.33
"05:37:42.52" , 1.33
"05:37:42.62" , 1.42
"05:37:42.72" , 1.42
"05:37:42.83" , 1.42
"05:37:42.93" , 1.50
"05:37:43.03" , 1.58
"05:37:43.13" , 1.58
"05:37:43.24" , 1.58
"05:37:43.34" , 1.58
"05:37:43.44" , 1.50
"05:37:43.54" , 1.50
"05:37:43.64" , 1.42
"05:37:43.74" , 1.50
"05:37:43.85" , 1.42
"05:37:43.95" , 1.42
"05:37:44.05" , 1.33
"05:37:44.15" , 1.25
"05:37:44.26" , 1.33
"05:37:44.36" , 1.33
"05:37:44.46" , 1.42
"05:37:44.56" , 1.42
"05:37:44.66" , 1.58
"05:37:44.76" , 1.58
"05:37:44.87" , 1.75
"05:37:44.97" , 1.92
"05:37:45.07" , 2.17
"05:37:45.17" , 2.17
"05:37:45.28" , 2.42
"05:37:45.38" , 2.50
"05:37:45.48" , 2.83
"05:37:45.58" , 1.92
"05:37:45.68" , 1.75
"05:37:45.79" , 1.33
"05:37:45.89" , 1.17
"05:37:45.99" , 1.08
"05:37:46.09" , 1.08
"05:37:46.19" , 1.08
"05:37:46.29" , 1.08
"05:37:46.40" , 1.08
"05:37:46.50" , 1.08
"05:37:46.60" , 1.08
"05:37:46.70" , 1.08
"05:37:46.81" , 1.08
"05:37:46.91" , 1.08
"05:37:47.01" , 1.17
"05:37:47.11" , 1.17
"05:37:47.21" , 1.17
"05:37:47.31" , 1.25
"05:37:47.42" , 1.25
"05:37:47.52" , 1.17
"05:37:47.62" , 1.25
"05:37:47.72" , 1.25
"05:37:47.83" , 1.25
"05:37:47.93" , 1.42
"05:37:48.03" , 1.42
"05:37:48.13" , 1.42
"05:37:48.23" , 1.33
"05:37:48.33" , 1.33
"05:37:48.44" , 1.42
"05:37:48.54" , 1.25
"05:37:48.64" , 1.25
"05:37:48.74" , 1.25
