time, distance
"05:22:11.44" , 3.08
"05:22:11.54" , 3.08
"05:22:11.64" , 3.08
"05:22:11.74" , 3.08
"05:22:11.84" , 3.08
"05:22:11.94" , 3.08
"05:22:12.05" , 3.08
"05:22:12.15" , 3.08
"05:22:12.25" , 3.00
"05:22:12.35" , 3.08
"05:22:12.46" , 3.00
"05:22:12.56" , 2.92
"05:22:12.66" , 2.83
"05:22:12.76" , 2.83
"05:22:12.86" , 2.83
"05:22:12.96" , 2.83
"05:22:13.07" , 2.83
"05:22:13.17" , 2.83
"05:22:13.27" , 2.83
"05:22:13.37" , 2.83
"05:22:13.48" , 2.83
"05:22:13.58" , 2.83
"05:22:13.68" , 2.92
"05:22:13.78" , 2.83
"05:22:13.88" , 2.92
"05:22:13.98" , 2.83
"05:22:14.09" , 2.75
"05:22:14.19" , 2.58
"05:22:14.29" , 2.58
"05:22:14.39" , 2.58
"05:22:14.50" , 2.50
"05:22:14.60" , 2.58
"05:22:14.70" , 2.67
"05:22:14.80" , 2.75
"05:22:14.91" , 2.75
"05:22:15.00" , 2.83
"05:22:15.11" , 2.75
"05:22:15.21" , 2.75
"05:22:15.31" , 2.75
"05:22:15.41" , 2.67
"05:22:15.52" , 2.67
"05:22:15.62" , 2.75
"05:22:15.72" , 2.83
"05:22:15.82" , 2.83
"05:22:15.93" , 3.00
"05:22:16.02" , 3.08
"05:22:16.13" , 3.17
"05:22:16.23" , 3.25
"05:22:16.33" , 3.25
"05:22:16.43" , 2.75
"05:22:16.54" , 2.58
"05:22:16.64" , 2.58
"05:22:16.74" , 2.50
"05:22:16.84" , 2.50
"05:22:16.95" , 2.50
"05:22:17.05" , 2.50
"05:22:17.15" , 2.50
"05:22:17.25" , 2.42
"05:22:17.35" , 2.33
"05:22:17.45" , 2.42
"05:22:17.56" , 2.33
"05:22:17.66" , 2.33
"05:22:17.76" , 2.33
"05:22:17.86" , 2.33
"05:22:17.97" , 2.33
"05:22:18.07" , 2.33
"05:22:18.17" , 2.25
"05:22:18.27" , 2.25
"05:22:18.37" , 2.33
"05:22:18.47" , 2.25
"05:22:18.58" , 2.33
