time, distance
"05:32:03.81" , undefined
"05:32:03.91" , undefined
"05:32:04.02" , undefined
"05:32:04.12" , undefined
"05:32:04.22" , undefined
"05:32:04.32" , undefined
"05:32:04.42" , undefined
"05:32:04.52" , undefined
"05:32:04.63" , undefined
"05:32:04.73" , undefined
"05:32:04.83" , undefined
"05:32:04.93" , undefined
"05:32:05.04" , undefined
"05:32:05.14" , undefined
"05:32:05.24" , undefined
"05:32:05.34" , undefined
"05:32:05.44" , undefined
"05:32:05.54" , undefined
"05:32:05.65" , undefined
"05:32:05.75" , undefined
"05:32:05.85" , undefined
"05:32:05.95" , undefined
"05:32:06.06" , undefined
"05:32:06.16" , undefined
"05:32:06.26" , undefined
"05:32:06.36" , undefined
"05:32:06.46" , undefined
"05:32:06.56" , undefined
"05:32:06.67" , undefined
"05:32:06.77" , undefined
"05:32:06.87" , undefined
"05:32:06.97" , undefined
"05:32:07.08" , undefined
"05:32:07.18" , undefined
"05:32:07.28" , undefined
"05:32:07.38" , undefined
"05:32:07.49" , undefined
"05:32:07.58" , undefined
"05:32:07.69" , undefined
"05:32:07.79" , undefined
"05:32:07.89" , undefined
"05:32:07.99" , undefined
"05:32:08.10" , undefined
"05:32:08.20" , undefined
"05:32:08.30" , undefined
"05:32:08.40" , undefined
"05:32:08.51" , undefined
"05:32:08.60" , undefined
"05:32:08.71" , undefined
"05:32:08.81" , undefined
"05:32:08.91" , undefined
"05:32:09.01" , undefined
"05:32:09.12" , undefined
"05:32:09.22" , undefined
"05:32:09.32" , undefined
"05:32:09.42" , undefined
"05:32:09.53" , undefined
"05:32:09.63" , undefined
"05:32:09.73" , undefined
"05:32:09.83" , undefined
"05:32:09.93" , undefined
"05:32:10.03" , undefined
"05:32:10.14" , undefined
"05:32:10.24" , undefined
"05:32:10.34" , undefined
"05:32:10.44" , undefined
"05:32:10.55" , undefined
"05:32:10.65" , undefined
"05:32:10.75" , undefined
"05:32:10.85" , undefined
"05:32:10.95" , undefined
"05:32:11.05" , undefined
"05:32:11.16" , undefined
"05:32:11.26" , undefined
"05:32:11.36" , undefined
"05:32:11.46" , undefined
"05:32:11.57" , undefined
"05:32:11.67" , undefined
"05:32:11.77" , undefined
"05:32:11.87" , undefined
"05:32:11.97" , undefined
"05:32:12.07" , undefined
"05:32:12.18" , undefined
"05:32:12.28" , undefined
"05:32:12.38" , undefined
"05:32:12.48" , undefined
"05:32:12.59" , undefined
"05:32:12.69" , undefined
"05:32:12.79" , undefined
"05:32:12.89" , undefined
"05:32:13.00" , undefined
"05:32:13.09" , undefined
"05:32:13.20" , undefined
"05:32:13.30" , undefined
"05:32:13.40" , undefined
"05:32:13.50" , undefined
"05:32:13.61" , undefined
"05:32:13.71" , undefined
"05:32:13.81" , undefined
"05:32:13.91" , undefined
"05:32:14.01" , undefined
"05:32:14.12" , undefined
"05:32:14.22" , undefined
"05:32:14.32" , undefined
"05:32:14.42" , undefined
"05:32:14.52" , undefined
"05:32:14.63" , undefined
"05:32:14.73" , undefined
"05:32:14.83" , undefined
"05:32:14.93" , undefined
"05:32:15.03" , undefined
"05:32:15.14" , undefined
"05:32:15.24" , undefined
"05:32:15.34" , undefined
"05:32:15.44" , undefined
"05:32:15.54" , undefined
"05:32:15.65" , undefined
"05:32:15.75" , undefined
"05:32:15.85" , undefined
"05:32:15.95" , undefined
"05:32:16.05" , undefined
"05:32:16.16" , undefined
"05:32:16.26" , undefined
"05:32:16.36" , undefined
"05:32:16.46" , undefined
"05:32:16.56" , undefined
"05:32:16.66" , undefined
"05:32:16.77" , undefined
"05:32:16.87" , undefined
"05:32:16.97" , undefined
"05:32:17.07" , undefined
"05:32:17.18" , undefined
"05:32:17.28" , undefined
