time, distance(ft)
"06:02:32.62" , 2.58
"06:02:32.73" , 2.58
"06:02:32.83" , 2.50
"06:02:32.93" , 2.50
"06:02:33.03" , 2.50
"06:02:33.13" , 2.42
"06:02:33.23" , 2.42
"06:02:33.34" , 2.42
"06:02:33.44" , 2.42
"06:02:33.54" , 2.42
"06:02:33.64" , 2.42
"06:02:33.75" , 2.33
"06:02:33.85" , 2.42
"06:02:33.95" , 2.42
"06:02:34.05" , 2.42
"06:02:34.15" , 2.42
"06:02:34.25" , 2.42
"06:02:34.36" , 2.42
"06:02:34.46" , 2.42
"06:02:34.56" , 2.50
"06:02:34.66" , 2.42
"06:02:34.77" , 2.42
"06:02:34.87" , 2.42
"06:02:34.97" , 2.33
"06:02:35.07" , 2.25
"06:02:35.18" , 2.17
"06:02:35.27" , 2.08
"06:02:35.38" , 2.08
"06:02:35.48" , 2.17
"06:02:35.58" , 2.08
"06:02:35.68" , 2.08
"06:02:35.79" , 2.08
"06:02:35.89" , 2.17
"06:02:35.99" , 2.17
"06:02:36.09" , 2.25
"06:02:36.20" , 2.25
"06:02:36.30" , 2.25
"06:02:36.40" , 2.17
"06:02:36.50" , 2.25
"06:02:36.60" , 2.17
"06:02:36.70" , 2.08
"06:02:36.81" , 2.08
"06:02:36.91" , 2.00
"06:02:37.01" , 2.00
"06:02:37.11" , 1.92
"06:02:37.22" , 1.92
"06:02:37.32" , 1.92
"06:02:37.42" , 1.83
"06:02:37.52" , 1.92
"06:02:37.62" , 1.92
"06:02:37.72" , 1.92
"06:02:37.83" , 2.00
"06:02:37.93" , 2.08
"06:02:38.03" , 2.17
"06:02:38.13" , 2.25
"06:02:38.24" , 2.42
"06:02:38.34" , 2.67
"06:02:38.44" , 3.83
"06:02:38.54" , 4.00
"06:02:38.64" , 4.33
"06:02:38.75" , 15.42
"06:02:38.85" , 17.42
"06:02:38.95" , 16.92
"06:02:39.05" , 16.83
"06:02:39.16" , 10.83
"06:02:39.26" , 8.92
"06:02:39.36" , 9.00
"06:02:39.46" , 9.08
"06:02:39.57" , 16.67
