time, distance(ft)
"06:03:08.97" , 2.33
"06:03:09.07" , 2.33
"06:03:09.18" , 2.33
"06:03:09.28" , 2.33
"06:03:09.38" , 2.33
"06:03:09.48" , 2.33
"06:03:09.58" , 2.33
"06:03:09.68" , 2.33
"06:03:09.79" , 2.33
"06:03:09.89" , 2.25
"06:03:09.99" , 2.25
"06:03:10.09" , 2.25
"06:03:10.20" , 2.25
"06:03:10.30" , 2.25
"06:03:10.40" , 2.33
"06:03:10.50" , 2.33
"06:03:10.60" , 2.33
"06:03:10.70" , 2.42
"06:03:10.81" , 2.42
"06:03:10.91" , 2.42
"06:03:11.01" , 2.33
"06:03:11.11" , 2.42
"06:03:11.22" , 2.42
"06:03:11.32" , 2.42
"06:03:11.42" , 2.42
"06:03:11.52" , 2.33
"06:03:11.62" , 2.25
"06:03:11.73" , 2.25
"06:03:11.83" , 2.25
"06:03:11.93" , 2.25
"06:03:12.03" , 2.25
"06:03:12.13" , 2.25
"06:03:12.24" , 2.25
"06:03:12.34" , 2.33
"06:03:12.44" , 2.25
"06:03:12.54" , 2.33
"06:03:12.64" , 2.33
"06:03:12.75" , 2.42
"06:03:12.85" , 2.42
"06:03:12.95" , 2.42
"06:03:13.05" , 2.42
"06:03:13.15" , 2.33
"06:03:13.26" , 2.33
"06:03:13.36" , 2.33
"06:03:13.46" , 2.25
"06:03:13.56" , 2.25
"06:03:13.66" , 2.25
"06:03:13.77" , 2.25
"06:03:13.87" , 2.25
"06:03:13.97" , 2.25
"06:03:14.07" , 2.33
"06:03:14.17" , 2.33
"06:03:14.27" , 2.33
"06:03:14.38" , 2.42
"06:03:14.48" , 2.42
"06:03:14.58" , 2.58
"06:03:14.68" , 2.58
"06:03:14.79" , 2.75
"06:03:14.89" , 2.92
"06:03:14.99" , 7.92
"06:03:15.09" , 8.08
"06:03:15.19" , 8.08
"06:03:15.29" , 8.08
"06:03:15.40" , 8.08
"06:03:15.50" , 8.08
"06:03:15.60" , 8.08
"06:03:15.70" , 8.00
"06:03:15.81" , 8.00
"06:03:15.91" , 8.00
"06:03:16.01" , 8.00
"06:03:16.11" , 8.00
"06:03:16.21" , 8.00
"06:03:16.31" , 8.00
"06:03:16.42" , 8.00
"06:03:16.52" , 8.08
"06:03:16.62" , 8.08
"06:03:16.72" , 8.17
"06:03:16.83" , 8.25
"06:03:16.93" , 3.83
"06:03:17.03" , 8.25
"06:03:17.13" , 8.33
"06:03:17.24" , 3.50
"06:03:17.34" , 8.33
